Entity,Code,Year,Affordability of a healthy diet: ratio of cost to food expenditures
Albania,ALB,2021,32
Algeria,DZA,2021,65
Angola,AGO,2021,80
Antigua and Barbuda,ATG,2021,80
Armenia,ARM,2021,31
Aruba,ABW,2021,80
Australia,AUS,2021,37
Austria,AUT,2021,32
Azerbaijan,AZE,2021,36
Bahrain,BHR,2021,49
Bangladesh,BGD,2021,52
Belarus,BLR,2021,36
Belgium,BEL,2021,27.000002
Belize,BLZ,2021,76
Benin,BEN,2021,97
Bermuda,BMU,2021,51
Bhutan,BTN,2021,78
Bolivia,BOL,2021,98
Bosnia and Herzegovina,BIH,2021,52.999996
Botswana,BWA,2021,146
Brazil,BRA,2021,76
British Virgin Islands,VGB,2021,34
Brunei,BRN,2021,70
Bulgaria,BGR,2021,50
Burkina Faso,BFA,2021,188
Burundi,BDI,2021,381
Cambodia,KHM,2021,109
Cameroon,CMR,2021,109
Canada,CAN,2021,50
Cape Verde,CPV,2021,85
Cayman Islands,CYM,2021,57
Central African Republic,CAF,2021,298
Chad,TCD,2021,149
Chile,CHL,2021,52.999996
China,CHN,2021,82
Colombia,COL,2021,56
Comoros,COM,2021,100
Congo,COG,2021,142
Costa Rica,CRI,2021,58.999996
Cote d'Ivoire,CIV,2021,61
Croatia,HRV,2021,40
Curacao,CUW,2021,57
Cyprus,CYP,2021,49
Czechia,CZE,2021,40
Democratic Republic of Congo,COD,2021,300
Denmark,DNK,2021,33
Djibouti,DJI,2021,83
Dominica,DMA,2021,87
Dominican Republic,DOM,2021,46
East Asia & Pacific (WB),,2021,67
Ecuador,ECU,2021,65
Egypt,EGY,2021,30.000002
Equatorial Guinea,GNQ,2021,43
Estonia,EST,2021,38
Eswatini,SWZ,2021,64
Ethiopia,ETH,2021,120.00001
Europe & Central Asia (WB),,2021,41
Fiji,FJI,2021,50
Finland,FIN,2021,37
France,FRA,2021,34
Gabon,GAB,2021,92
Gambia,GMB,2021,113
Germany,DEU,2021,40
Ghana,GHA,2021,89
Greece,GRC,2021,34
Grenada,GRD,2021,65
Guatemala,GTM,2021,52
Guinea,GIN,2021,116.99999
Guinea-Bissau,GNB,2021,126
Guyana,GUY,2021,63
High-income countries,,2021,45
Honduras,HND,2021,120.00001
Hong Kong,HKG,2021,44
Hungary,HUN,2021,54.000004
Iceland,ISL,2021,32
India,IND,2021,80
Indonesia,IDN,2021,80
Iraq,IRQ,2021,80
Ireland,IRL,2021,50
Israel,ISR,2021,33
Italy,ITA,2021,33
Jamaica,JAM,2021,89
Japan,JPN,2021,71
Jordan,JOR,2021,78
Kazakhstan,KAZ,2021,23
Kenya,KEN,2021,80
Kuwait,KWT,2021,32
Kyrgyzstan,KGZ,2021,67
Laos,LAO,2021,105.99999
Latin America & Caribbean (WB),,2021,66
Latvia,LVA,2021,38
Lebanon,LBN,2021,86
Lesotho,LSO,2021,195
Liberia,LBR,2021,233
Lithuania,LTU,2021,26
Low-income countries,,2021,200
Lower-middle-income countries,,2021,97
Luxembourg,LUX,2021,31
Madagascar,MDG,2021,164
Malawi,MWI,2021,201
Malaysia,MYS,2021,29
Maldives,MDV,2021,92
Mali,MLI,2021,95
Malta,MLT,2021,57
Mauritania,MRT,2021,102
Mauritius,MUS,2021,37
Mexico,MEX,2021,38
Middle East & North Africa (WB),,2021,68
Moldova,MDA,2021,44
Mongolia,MNG,2021,77
Montenegro,MNE,2021,32
Morocco,MAR,2021,54.000004
Mozambique,MOZ,2021,283
Namibia,NAM,2021,125
Nepal,NPL,2021,58.999996
Netherlands,NLD,2021,31
New Zealand,NZL,2021,37
Nicaragua,NIC,2021,130
Niger,NER,2021,319
Nigeria,NGA,2021,98
North America (WB),,2021,44
North Macedonia,MKD,2021,46
Norway,NOR,2021,43
Oman,OMN,2021,31
Pakistan,PAK,2021,68
Palestine,PSE,2021,71
Panama,PAN,2021,48
Paraguay,PRY,2021,64
Peru,PER,2021,71
Philippines,PHL,2021,62
Poland,POL,2021,37
Portugal,PRT,2021,29
Qatar,QAT,2021,44
Romania,ROU,2021,27.000002
Rwanda,RWA,2021,177
Saint Kitts and Nevis,KNA,2021,56
Saint Lucia,LCA,2021,64
Saint Vincent and the Grenadines,VCT,2021,72
Sao Tome and Principe,STP,2021,57
Saudi Arabia,SAU,2021,26
Senegal,SEN,2021,88
Serbia,SRB,2021,62
Seychelles,SYC,2021,137
Sierra Leone,SLE,2021,156
Singapore,SGP,2021,56
Slovakia,SVK,2021,35
Slovenia,SVN,2021,40
Somalia,SOM,2021,268
South Africa,ZAF,2021,94
South Asia (WB),,2021,70
South Korea,KOR,2021,92
South Sudan,SSD,2021,86
Spain,ESP,2021,38
Sri Lanka,LKA,2021,58.999996
Sub-Saharan Africa (WB),,2021,149
Sudan,SDN,2021,64
Suriname,SUR,2021,66
Sweden,SWE,2021,40
Switzerland,CHE,2021,33
Syria,SYR,2021,301
Taiwan,TWN,2021,52
Tajikistan,TJK,2021,112
Tanzania,TZA,2021,301
Thailand,THA,2021,69
Togo,TGO,2021,195
Trinidad and Tobago,TTO,2021,52.999996
Tunisia,TUN,2021,66
Turkey,TUR,2021,39
Uganda,UGA,2021,191
United Arab Emirates,ARE,2021,33
United Kingdom,GBR,2021,33
United States,USA,2021,30.000002
Upper-middle-income countries,,2021,62
Uruguay,URY,2021,45
Uzbekistan,UZB,2021,91
Vietnam,VNM,2021,90
World,OWID_WRL,2021,84
Zambia,ZMB,2021,196
